day,death,deathIncrease,negative,negativeIncrease,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease
78,10618,1342,788432,33778,341959,25877,1940313,129555
79,11932,1314,858250,69818,370221,28262,2078023,137710
80,13970,2038,937209,78959,400651,30430,2248139,170116
81,15973,2003,1005239,68030,431647,30996,2413733,165594
82,18024,2051,1087969,82730,466608,34961,2584291,170558
83,20107,2083,1144129,56160,500340,33732,2739967,155676
84,22182,2075,1207069,62940,531622,31282,2898690,158723
85,23882,1700,1274807,67738,559749,28127,3039299,140609
86,25515,1633,1333409,58602,584001,24252,3164923,125624
87,27867,2352,1406993,73584,609913,25912,3325178,160255
88,30412,2545,1464897,57904,639896,29983,3474456,149278
89,32606,2194,1544636,79739,671423,31527,3657502,183046
90,34724,2118,1613835,69199,703407,31984,3829651,172149
91,36619,1895,1684240,70405,731357,27950,4001531,171880
92,38382,1763,1753290,69050,758880,27523,4150457,148926
93,40198,1816,1824141,70851,784847,25967,4295090,144633
94,42677,2479,1888055,63914,810886,26039,4462056,166966
95,44762,2085,1673902,-214153,840062,29176,4796462,334406
96,46571,1809,1738744,64842,872015,31953,5014575,218113
97,48545,1974,1822023,83279,906241,34226,5259954,245379
98,50174,1629,1926826,104803,941975,35734,5536257,276303
99,51393,1219,2002149,75323,969289,27314,5742051,205794
100,52683,1290,2065114,62965,991696,22407,5936590,194539
101,54761,2078,2134434,69320,1016930,25234,6153255,216665
102,57437,2676,2221895,87461,1043106,26176,6409374,256119
103,59597,2160,2303573,81678,1073152,30046,6684935,275561
104,61406,1809,2408131,104558,1105960,32808,6970758,285823
105,62933,1527,2487236,79105,1135156,29196,7242997,272239
106,64181,1248,2582879,95643,1160945,25789,7483965,240968
107,65209,1028,2672124,89245,1183140,22195,7720150,236185
108,67699,2490,2777003,104879,1205484,22344,7998599,278449
109,69617,1918,2866079,89076,1230740,25256,8282815,284216
110,72365,2748,2960022,93943,1257969,27229,8612823,330008
111,74149,1784,3064985,104963,1285166,27197,8925409,312586
112,75605,1456,3176227,111242,1310486,25320,9249146,323737
113,76640,1035,3270189,93962,1331602,21116,9525082,275936
114,77531,891,3477334,207145,1349742,18140,9899296,374214
115,79040,1509,3586607,109273,1372184,22442,10238528,339232
116,80770,1730,3703302,116695,1393684,21500,10583666,345138
117,82623,1853,3840573,137271,1420457,26773,10975121,391455
118,84161,1538,3964409,123836,1445947,25490,11381536,406415
119,85398,1237,4094486,130077,1469690,23743,11774127,392591
120,86271,873,4234501,140015,1490126,20436,12125280,351153
121,87125,854,4361811,127310,1510723,20597,12475275,349995
122,88442,1317,4527786,165975,1531410,20687,12895781,420506
123,89839,1397,4695065,167279,1552703,21293,13346073,450292
124,91219,1380,4923162,228097,1579534,26831,13854905,508832
125,92509,1290,5096015,172853,1603649,24115,14308688,453783
126,93549,1040,5214235,118220,1626210,22561,14753262,444574
127,94237,688,5342296,128061,1645272,19062,15142581,389319
128,94793,556,5510215,167919,1663827,18555,15550628,408047
129,95458,665,5622565,112350,1680517,16690,15865958,315330
130,96793,1335,5773627,151062,1699689,19172,16282512,416554
131,98028,1235,5961884,188257,1722488,22799,16776508,493996
132,99202,1174,6158176,196292,1746106,23618,17310736,534228
133,100125,923,6325825,167649,1769702,23596,17767910,457174
134,100780,655,6473010,147185,1791343,21641,18198403,430493
135,101459,679,6631124,158114,1811444,20101,18617830,419427
136,102430,971,6792714,161590,1831323,19879,19066878,449048
137,103405,975,6978487,185773,1851505,20182,19571327,504449
138,104288,883,7158917,180430,1871982,20477,20070196,498869
139,105123,835,7392509,233592,1895032,23050,20694440,624244
140,105837,714,7616701,224192,1917778,22746,21252397,557957
141,106284,447,7805049,188348,1936834,19056,21687259,434862
142,106959,675,7937347,132298,1953757,16923,22093052,405793
143,107845,886,8092697,155350,1970673,16916,22547902,454850
144,108738,893,8261533,168836,1991553,20880,23030522,482620
145,109634,896,8411162,149629,2013544,21991,23515501,484979
146,110400,766,8639466,228304,2036685,23141,24138885,623384
147,111094,694,8836996,197530,2062138,25453,24683493,544608
148,111449,355,9006210,169214,2083796,21658,25161026,477533
149,111834,385,9173553,167343,2102051,18255,25609037,448011
150,112554,720,9354081,180528,2124889,22838,26113761,504724
